Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Cotton,Norris,R.,,,05/11/1900,02/24/1989,M,U.S. Representative,Republican,NH,2,01/03/1947,11/07/1954,Congregationalist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,
Coudert,Frederick,Ren&eacute;,Jr.,,05/07/1898,05/21/1972,M,U.S. Representative,Republican,NY,17,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Army,,
Courtney,William,Wirt,,,09/07/1889,04/06/1961,M,U.S. Representative,Democrat,TN,7,01/03/1945,01/03/1949,Episcopalian,White,Professional degree,Law,,,,,Army,,
Cox,Edward,Eugene,,,04/03/1880,12/24/1952,M,U.S. Representative,Democrat,GA,2,01/03/1945,12/24/1952,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Cravens,William,Fadjo,,,02/15/1899,04/16/1974,M,U.S. Representative,Democrat,AR,4,01/03/1945,01/03/1949,Not specified,White,Professional degree,Law,,,,,Navy,,
Crawford,Fred,Lewis,,,05/05/1888,04/13/1957,M,U.S. Representative,Republican,MI,8,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Agriculture,Business or banking,,,,Did not serve,,
Crosser,Robert,,,,06/07/1874,06/03/1957,M,U.S. Representative,Democrat,OH,21,01/03/1945,01/03/1955,Not specified,White,Professional degree,Education,Law,,,,Did not serve,,
Crow,William,Josiah,,,01/22/1902,10/13/1974,M,U.S. Representative,Republican,PA,23,01/03/1947,01/03/1949,Not specified,White,Professional degree,Law,,,,,Army,,
Cunningham,Paul,Harvey,,,06/15/1890,07/16/1961,M,U.S. Representative,Republican,IA,5,01/03/1945,01/03/1959,Presbyterian,White,Professional degree,Law,,,,,National Guard-Iowa,,
Curtis,Carl,Thomas,,,03/15/1905,01/24/2000,M,U.S. Representative,Republican,NE,1,01/03/1939,12/31/1954,Presbyterian,White,Professional degree,Education,Law,,,,Did not serve,,
Dague,Paul,Bartram,,,05/19/1898,12/02/1974,M,U.S. Representative,Republican,PA,9,01/03/1947,12/30/1966,Presbyterian,White,Bachelor's degree,Law Enforcement,Public service/politics,,,,Marine Corps,,
D'Alesandro,Thomas,,Jr.,,08/01/1903,08/23/1987,M,U.S. Representative,Democrat,MD,3,01/03/1939,05/16/1947,Not specified,White,Unknown,Business or banking,,,,,,,
Davis,Clifford,,,,11/18/1897,06/08/1970,M,U.S. Representative,Democrat,TN,10,01/03/1945,01/02/1953,Baptist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Davis,Glenn,Robert,,,10/28/1914,09/21/1988,M,U.S. Representative,Republican,WI,2,04/22/1947,01/03/1957,United Church of Christ,White,Professional degree,Education,Law,,,,Navy,,
Davis,James,Curran,,,05/17/1895,12/18/1981,M,U.S. Representative,Democrat,GA,5,01/03/1947,01/03/1963,Methodist,White,High School graduate,Business or banking,Law,,,,Marine Corps,,
Dawson,William,Adams,,,11/05/1903,11/07/1981,M,U.S. Representative,Republican,UT,2,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Dawson,William,Levi,,,04/26/1886,11/09/1970,M,U.S. Representative,Democrat,IL,1,01/06/1943,11/09/1970,Christian Scientist,African American,Professional degree,Law,Public service/politics,,,,Army,,
Deane,Charles,Bennett,,,11/01/1898,11/24/1969,M,U.S. Representative,Democrat,NC,8,01/03/1947,01/03/1957,Baptist,White,Professional degree,Business or banking,Law,Public service/politics,,,Did not serve,,
Delaney,John,Joseph,,,08/21/1878,11/18/1948,M,U.S. Representative,Democrat,NY,7,01/03/1931,11/18/1948,Not specified,White,Professional degree,Business or banking,Law,,,,Did not serve,,
Devitt,Edward,James,,,05/05/1911,03/02/1992,M,U.S. Representative,Republican,MN,4,01/03/1947,01/03/1949,Not specified,White,Professional degree,Education,Law,,,,Navy,,
D'Ewart,Wesley,Abner,,,10/01/1889,09/02/1973,M,U.S. Representative,Republican,MT,2,06/25/1945,01/03/1955,Not specified,White,High School graduate,Agriculture,Business or banking,Public service/politics,,,Did not serve,,
Dingell,John,David,Sr.,,02/02/1894,09/19/1955,M,U.S. Representative,Democrat,MI,15,03/03/1933,09/19/1955,Not specified,White,Unknown,Business or banking,,,,,Did not serve,,
Dirksen,Everett,McKinley,,,01/04/1896,09/07/1969,M,U.S. Representative,Republican,IL,16,03/09/1933,01/03/1949,Reformed Church,White,Professional degree,Law,,,,,Army,,
Dolliver,James,Isaac,,,08/31/1894,12/10/1978,M,U.S. Representative,Republican,IA,6,01/03/1945,01/03/1957,Not specified,White,Professional degree,Education,Law,,,,Army,,
Domengeaux,James,,,,01/06/1907,04/11/1988,M,U.S. Representative,Democrat,LA,3,01/03/1945,01/03/1949,Roman Catholic,White,Bachelor's degree,Law,,,,,Army Combat Engineers,,
Dondero,George,Anthony,,,12/16/1883,01/29/1968,M,U.S. Representative,Republican,MI,17,01/03/1945,01/02/1953,Methodist,White,Professional degree,Law,Real Estate,,,,Did not serve,,
Donnell,Forrest,C.,,,08/20/1884,03/03/1980,M,U.S. Senator,Republican,MO,,01/03/1945,01/03/1951,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Donohue,Harold,Daniel,,,06/18/1901,11/04/1984,M,U.S. Representative,Democrat,MA,4,01/03/1947,01/02/1973,Roman Catholic,White,Professional degree,Law,,,,,Navy,,
Dorn,William,Jennings Bryan,,,04/14/1916,08/13/2005,M,U.S. Representative,Democrat,SC,3,01/03/1947,01/03/1975,Baptist,White,High School graduate,Agriculture,,,,,Army Air Force,,
Doughton,Robert,Lee,,,11/07/1863,10/01/1954,M,U.S. Representative,Democrat,NC,9,01/03/1945,01/03/1953,Not specified,White,High School graduate,Agriculture,Business or banking,,,,Did not serve,,
